Python 3.1.2 (r312:79360M, Mar 24 2010, 01:33:18) 
[GCC 4.0.1 (Apple Inc. build 5493)] on darwin
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 

Number of executions for each coin bias: 100000

p = probability of heads 
w = average wins of Player 1 
t = average number of coin tosses

p      w       t
0.461, 0.4982, 5.0175
0.462, 0.4996, 5.0143
0.463, 0.5003, 5.0200
0.464, 0.5002, 5.0140
0.465, 0.4997, 5.0079
0.466, 0.5034, 5.0310
0.467, 0.5005, 5.0224
0.468, 0.5001, 5.0106
0.469, 0.5004, 5.0187
0.470, 0.4994, 5.0092
0.471, 0.5040, 5.0137
0.472, 0.4993, 5.0137
0.473, 0.5012, 5.0082
0.474, 0.5001, 4.9991
0.475, 0.5005, 5.0138
0.476, 0.4993, 5.0085
0.477, 0.5003, 5.0147
0.478, 0.5001, 4.9968
0.479, 0.4995, 5.0065
0.480, 0.5014, 4.9920
0.481, 0.5030, 4.9987
0.482, 0.5006, 5.0156
0.483, 0.4988, 4.9999
0.484, 0.4998, 5.0086
0.485, 0.4990, 5.0056
0.486, 0.5030, 4.9949
0.487, 0.4998, 4.9929
0.488, 0.4997, 5.0059
0.489, 0.5003, 5.0088
0.490, 0.4972, 4.9862
0.491, 0.5011, 5.0052
0.492, 0.5009, 5.0052
0.493, 0.5003, 4.9881
0.494, 0.4993, 4.9965
0.495, 0.5008, 5.0131
0.496, 0.4972, 4.9959
0.497, 0.4993, 5.0015
0.498, 0.5001, 5.0093
0.499, 0.5029, 4.9923
0.500, 0.5016, 4.9939
0.501, 0.4978, 5.0042
0.502, 0.4983, 5.0034
0.503, 0.5026, 5.0092
0.504, 0.5007, 4.9884
0.505, 0.4995, 4.9895
0.506, 0.5012, 5.0100
0.507, 0.5027, 5.0060
0.508, 0.4999, 4.9881
0.509, 0.4997, 5.0133
0.510, 0.4986, 5.0084
0.511, 0.5029, 4.9977
0.512, 0.4969, 5.0147
0.513, 0.4958, 5.0124
0.514, 0.4997, 5.0202
0.515, 0.5018, 4.9987
0.516, 0.4989, 4.9970
0.517, 0.5022, 4.9797
0.518, 0.4974, 5.0063
0.519, 0.5007, 5.0029
0.520, 0.5017, 5.0080
0.521, 0.4991, 5.0161
0.522, 0.4998, 4.9965
0.523, 0.5033, 5.0153
0.524, 0.4995, 5.0158
0.525, 0.4990, 5.0178
0.526, 0.5003, 5.0003
0.527, 0.4965, 5.0081
0.528, 0.5012, 5.0108
0.529, 0.4982, 5.0075
0.530, 0.4964, 5.0247
0.531, 0.4995, 5.0132
0.532, 0.4989, 5.0286
0.533, 0.5011, 5.0102
0.534, 0.5002, 5.0139
0.535, 0.4994, 5.0416
0.536, 0.5003, 5.0164
0.537, 0.5021, 5.0091
0.538, 0.4983, 5.0188
0.539, 0.5016, 5.0371
0.540, 0.5024, 5.0355
0.541, 0.5000, 5.0379
0.542, 0.5036, 5.0427
0.543, 0.4979, 5.0289
0.544, 0.4996, 5.0295
0.545, 0.4976, 5.0384
0.546, 0.4996, 5.0323
0.547, 0.4991, 5.0338
0.548, 0.4987, 5.0271
0.549, 0.4987, 5.0370
0.550, 0.4992, 5.0575
0.551, 0.4988, 5.0366
0.552, 0.5019, 5.0539
0.553, 0.5008, 5.0406
0.554, 0.4994, 5.0596
0.555, 0.4977, 5.0474
0.556, 0.4991, 5.0608
0.557, 0.4993, 5.0421
0.558, 0.4968, 5.0425
0.559, 0.4989, 5.0705
0.560, 0.5007, 5.0372
0.561, 0.5010, 5.0691
0.562, 0.5003, 5.0724
0.563, 0.4995, 5.0817
0.564, 0.5010, 5.0670
0.565, 0.5006, 5.0841
0.566, 0.5000, 5.0645
0.567, 0.4985, 5.0623
0.568, 0.5014, 5.0822
0.569, 0.5022, 5.0803
0.570, 0.5005, 5.0916
0.571, 0.5005, 5.1020
0.572, 0.4995, 5.0854
0.573, 0.4990, 5.0877
0.574, 0.5001, 5.0875
0.575, 0.4994, 5.0884
0.576, 0.5030, 5.0816
0.577, 0.5006, 5.1017
0.578, 0.5016, 5.0937
0.579, 0.5021, 5.0988
0.580, 0.5013, 5.1064
0.581, 0.5000, 5.1184
0.582, 0.5004, 5.1022
0.583, 0.5005, 5.1126
0.584, 0.5014, 5.1088
0.585, 0.4999, 5.1263
0.586, 0.5002, 5.1111
0.587, 0.5026, 5.1313
0.588, 0.4976, 5.1302
0.589, 0.4999, 5.1305
0.590, 0.4994, 5.1289
0.591, 0.5004, 5.1443
0.592, 0.4963, 5.1248
0.593, 0.4999, 5.1399
0.594, 0.4980, 5.1399
0.595, 0.4992, 5.1514
0.596, 0.5021, 5.1468
0.597, 0.5011, 5.1544
0.598, 0.4993, 5.1603
0.599, 0.4979, 5.1638
0.600, 0.4983, 5.1614
0.601, 0.4997, 5.1692
0.602, 0.4970, 5.1663
0.603, 0.4998, 5.1733
0.604, 0.4985, 5.1759
0.605, 0.4994, 5.1957
0.606, 0.4969, 5.1985
0.607, 0.4983, 5.1793
0.608, 0.5000, 5.1876
0.609, 0.5030, 5.1922
0.610, 0.4980, 5.2010
0.611, 0.4995, 5.2001
0.612, 0.5017, 5.2074
